District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01,4,2018,Native American,14,576,10,71.4,3,21.4,1,7.1,0,0.0,1,7.1
01,4,2018,White,136,612,17,12.5,20,14.7,34,25.0,65,47.8,99,72.8
01,5,2018,Asian,154,622,7,4.5,14,9.1,36,23.4,97,63.0,133,86.4
01,5,2018,Black,112,585,66,58.9,17,15.2,22,19.6,7,6.3,29,25.9
01,5,2018,Hispanic,277,593,122,44.0,69,24.9,47,17.0,39,14.1,86,31.0
01,5,2018,Multi-Racial,23,621,3,13.0,1,4.3,5,21.7,14,60.9,19,82.6
01,5,2018,Native American,12,572,10,83.3,2,16.7,0,0.0,0,0.0,0,0.0
01,5,2018,White,136,614,24,17.6,11,8.1,27,19.9,74,54.4,101,74.3
01,6,2018,Asian,184,619,14,7.6,20,10.9,37,20.1,113,61.4,150,81.5
01,6,2018,Black,123,584,80,65.0,19,15.4,15,12.2,9,7.3,24,19.5
01,6,2018,Hispanic,304,593,133,43.8,75,24.7,60,19.7,36,11.8,96,31.6
01,6,2018,Multi-Racial,20,615,1,5.0,4,20.0,6,30.0,9,45.0,15,75.0
01,6,2018,Native American,18,575,16,88.9,0,0.0,0,0.0,2,11.1,2,11.1
01,6,2018,White,123,614,19,15.4,4,3.3,29,23.6,71,57.7,100,81.3
01,7,2018,Asian,174,618,14,8.0,16,9.2,39,22.4,105,60.3,144,82.8
01,7,2018,Black,147,584,91,61.9,33,22.4,17,11.6,6,4.1,23,15.6
01,7,2018,Hispanic,274,591,133,48.5,84,30.7,45,16.4,12,4.4,57,20.8
01,7,2018,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
01,7,2018,Native American,12,s,s,s,s,s,s,s,s,s,s,s
01,7,2018,White,132,612,17,12.9,12,9.1,45,34.1,58,43.9,103,78.0
01,8,2018,Asian,120,621,9,7.5,16,13.3,33,27.5,62,51.7,95,79.2
01,8,2018,Black,140,586,86,61.4,37,26.4,16,11.4,1,0.7,17,12.1
01,8,2018,Hispanic,267,591,143,53.6,88,33.0,29,10.9,7,2.6,36,13.5
01,8,2018,Multi-Racial,6,599,2,33.3,2,33.3,2,33.3,0,0.0,2,33.3
01,8,2018,Native American,16,589,8,50.0,5,31.3,2,12.5,1,6.3,3,18.8
01,8,2018,White,53,596,23,43.4,9,17.0,11,20.8,10,18.9,21,39.6
01,All Grades,2018,Asian,942,619,69,7.3,109,11.6,209,22.2,555,58.9,764,81.1
01,All Grades,2018,Black,746,585,440,59.0,155,20.8,102,13.7,49,6.6,151,20.2
01,All Grades,2018,Hispanic,1695,592,744,43.9,467,27.6,312,18.4,172,10.1,484,28.6
01,All Grades,2018,Multi-Racial,100,s,s,s,s,s,s,s,s,s,s,s
01,All Grades,2018,Native American,83,s,s,s,s,s,s,s,s,s,s,s
01,All Grades,2018,White,717,612,115,16.0,77,10.7,184,25.7,341,47.6,525,73.2
02,3,2025,Asian,577,481,17,2.9,43,7.5,204,35.4,313,54.2,517,89.6
02,3,2025,Black,120,447,29,24.2,36,30.0,37,30.8,18,15.0,55,45.8
02,3,2025,Hispanic,411,454,92,22.4,89,21.7,137,33.3,93,22.6,230,56.0
02,3,2025,Multi-Racial,144,483,5,3.5,9,6.3,43,29.9,87,60.4,130,90.3
02,3,2025,Native American,12,468,1,8.3,0,0.0,8,66.7,3,25.0,11,91.7
02,3,2025,White,900,481,20,2.2,62,6.9,344,38.2,474,52.7,818,90.9
02,4,2025,Asian,572,485,18,3.1,39,6.8,185,32.3,330,57.7,515,90.0
02,4,2025,Black,126,446,45,35.7,34,27.0,33,26.2,14,11.1,47,37.3
02,4,2025,Hispanic,427,453,114,26.7,83,19.4,150,35.1,80,18.7,230,53.9
02,4,2025,Multi-Racial,157,483,7,4.5,8,5.1,52,33.1,90,57.3,142,90.4
02,4,2025,Native American,7,474,1,14.3,0,0.0,3,42.9,3,42.9,6,85.7
02,4,2025,White,840,480,31,3.7,66,7.9,330,39.3,413,49.2,743,88.5
02,5,2025,Asian,556,484,14,2.5,34,6.1,167,30.0,341,61.3,508,91.4
02,5,2025,Black,135,s,s,s,s,s,s,s,s,s,s,s
02,5,2025,Hispanic,400,452,109,27.3,81,20.3,139,34.8,71,17.8,210,52.5
02,5,2025,Multi-Racial,192,480,8,4.2,10,5.2,68,35.4,106,55.2,174,90.6
02,5,2025,Native American,5,s,s,s,s,s,s,s,s,s,s,s
02,5,2025,White,755,478,33,4.4,58,7.7,284,37.6,380,50.3,664,87.9
02,6,2025,Asian,528,479,23,4.4,45,8.5,208,39.4,252,47.7,460,87.1
02,6,2025,Black,143,440,49,34.3,53,37.1,33,23.1,8,5.6,41,28.7
02,6,2025,Hispanic,462,446,150,32.5,123,26.6,136,29.4,53,11.5,189,40.9
02,6,2025,Multi-Racial,175,476,8,4.6,13,7.4,82,46.9,72,41.1,154,88.0
02,6,2025,Native American,14,462,0,0.0,6,42.9,5,35.7,3,21.4,8,57.1
02,6,2025,White,730,472,42,5.8,92,12.6,336,46.0,260,35.6,596,81.6
02,7,2025,Asian,588,489,5,0.9,36,6.1,112,19.0,435,74.0,547,93.0
02,7,2025,Black,160,445,47,29.4,52,32.5,35,21.9,26,16.3,61,38.1
02,7,2025,Hispanic,420,454,102,24.3,102,24.3,102,24.3,114,27.1,216,51.4
02,7,2025,Multi-Racial,144,s,s,s,s,s,s,s,s,s,s,s
02,7,2025,Native American,5,s,s,s,s,s,s,s,s,s,s,s
02,7,2025,White,754,483,12,1.6,58,7.7,181,24.0,503,66.7,684,90.7
02,8,2025,Asian,69,472,6,8.7,9,13.0,24,34.8,30,43.5,54,78.3
02,8,2025,Black,68,434,40,58.8,11,16.2,13,19.1,4,5.9,17,25.0
02,8,2025,Hispanic,195,434,119,61.0,26,13.3,39,20.0,11,5.6,50,25.6
02,8,2025,Multi-Racial,26,s,s,s,s,s,s,s,s,s,s,s
02,8,2025,Native American,4,s,s,s,s,s,s,s,s,s,s,s
02,8,2025,White,166,467,20,12.0,24,14.5,67,40.4,55,33.1,122,73.5
02,All Grades,2025,Asian,2890,483,83,2.9,206,7.1,900,31.1,1701,58.9,2601,90.0
02,All Grades,2025,Black,752,s,s,s,s,s,s,s,s,s,s,s
02,All Grades,2025,Hispanic,2315,450,686,29.6,504,21.8,703,30.4,422,18.2,1125,48.6
02,All Grades,2025,Multi-Racial,838,480,37,4.4,53,6.3,287,34.2,461,55.0,748,89.3
02,All Grades,2025,Native American,47,460,9,19.1,7,14.9,20,42.6,11,23.4,31,66.0
02,All Grades,2025,White,4145,478,158,3.8,360,8.7,1542,37.2,2085,50.3,3627,87.5
